UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temp_Difference,Power,Wear_Rate,Temp_Ratio,Torque_RPM_Ratio,High_Wear,High_Temp
1,M14860,1,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,66382.79999999999,0.0,1.0352230795035222,0.027577319587628865,0,0
2,L47181,0,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,65190.399999999994,0.0021291696238466998,1.0352112676056338,0.03286018452803406,0,0
3,L47182,0,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999977,74001.2,0.00333555703802535,1.0348876216034886,0.03295530353569046,0,0
4,L47183,0,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,56603.5,0.0048814504881450485,1.034875922199866,0.027545327754532774,0,0
5,L47184,0,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,56320.0,0.0063875088715401,1.0352112676056338,0.028388928317955996,0,0
6,M14865,1,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,59707.5,0.007713884992987377,1.0352230795035222,0.029382889200561008,0,0
7,L47186,0,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,66059.2,0.008980115458627326,1.0352230795035222,0.027196921103271328,0,0
8,L47187,0,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,61385.4,0.010471204188481676,1.0352230795035222,0.026308900523560212,0,0
9,M14868,1,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999977,47676.200000000004,0.01079136690647482,1.0348642306402949,0.017146282973621103,0,0
10,M14869,1,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,48748.0,0.012055109070034443,1.035175879396985,0.016073478760045924,0,0
11,H29424,2,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,42589.799999999996,0.01346045989904655,1.0351876675603218,0.013404374649467189,0,0
12,H29425,2,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,63038.899999999994,0.020365168539325844,1.0351640991292699,0.03110955056179775,0,0
13,M14872,1,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,68422.90000000001,0.025373134328358207,1.0351640991292699,0.03813432835820896,0,0
14,M14873,1,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,52260.0,0.021227768215720023,1.0354989953114533,0.01721170395869191,0,0
15,L47194,0,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,39886.0,0.019646365422396856,1.0354989953114533,0.00962671905697446,0,0
16,L47195,0,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,74632.8,0.027219701879455604,1.0354989953114533,0.03136746597537265,0,0
17,M14876,1,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,61092.6,0.03353658536585366,1.0354989953114533,0.03551829268292683,0,0
18,M14877,1,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,64296.0,0.03330970942593905,1.0351523267492468,0.032317505315379164,0,0
19,H29432,2,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,71177.0,0.03825554705432287,1.034805890227577,0.041698546289211935,0,0
20,M14879,1,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,53040.0,0.03368034292712799,1.0347942455670793,0.019902020820575628,0,0
21,H29434,2,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,58712.50000000001,0.04215116279069767,1.0347942455670793,0.03103197674418605,0,0
22,L47201,0,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,64959.99999999999,0.043418332184700204,1.035140562248996,0.03087525844245348,0,0
23,M14882,1,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,48536.7,0.04108723135271808,1.0347942455670793,0.01940581542351454,0,0
24,L47203,0,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,45180.6,0.038658328595793066,1.0347826086956522,0.014610574189880614,0,0
25,M14884,1,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,58225.299999999996,0.04481434058898848,1.0347826086956522,0.023879641485275285,0,0
26,L47205,0,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,43361.3,0.03920515574650913,1.0351170568561874,0.01251342642320086,0,0
27,L47206,0,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999977,58968.0,0.0495703899537343,1.0347709796054831,0.025776602775941838,0,0
28,H29441,2,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,44550.600000000006,0.04249448123620309,1.0344366432631225,0.013576158940397352,0,0
29,L47208,0,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999955,63603.8,0.05694444444444444,1.0344366432631225,0.030694444444444448,0,0
30,L47209,0,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,50959.3,0.049586776859504134,1.0347826086956522,0.017768595041322315,0,0
31,M14890,1,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999977,64539.8,0.06417910447761194,1.0347709796054831,0.03597014925373135,0,0
32,L47211,0,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999977,45849.0,0.049471928849360754,1.0347826086956522,0.014174541411895497,0,0
33,L47212,0,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999977,68537.7,0.06408450704225352,1.0347826086956522,0.03401408450704225,0,0
34,L47213,0,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,54112.5,0.05582232893157263,1.0347942455670793,0.019507803121248498,0,0
35,M14894,1,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,54097.3,0.060897435897435896,1.034471218206158,0.022243589743589746,0,0
36,M14895,1,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999977,70567.2,0.06744666207845836,1.034805890227577,0.033448038540949764,0,0
37,M14896,1,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,58022.700000000004,0.0638432364096081,1.0344596855135497,0.023198482932996208,0,0
38,L47217,0,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,56408.8,0.07222222222222222,1.034471218206158,0.027222222222222224,0,0
39,H29452,2,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,69915.3,0.07681159420289856,1.0344596855135497,0.03673913043478261,0,0
40,L47219,0,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,70875.0,0.08216136195410807,1.034471218206158,0.038860103626943004,0,0
41,L47220,0,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,61834.799999999996,0.08290535583272193,1.034471218206158,0.03330887747615554,0,0
